[14:22:48.325 INF] [T:1] [Rank] Logger setup was successful: Rank
[14:22:48.465 DBG] [T:1] [Rank] Discover commands: [3003, 3002, 3001, 3000, 1000]
[14:22:48.466 INF] [T:1] [Rank] The server Rank is initialized.
[14:22:48.728 DBG] [T:1] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=1, rank=2, score=30, isRewarded=false, item=[0:0:70]
[14:22:48.728 DBG] [T:1] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=2, rank=1, score=40, isRewarded=false, item=[0:0:100]
[14:22:48.728 DBG] [T:1] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=1000001, rank=3, score=10, isRewarded=false, item=[0:0:50]
[14:22:48.728 DBG] [T:1] [Rank] [Daily] Reward loaded. season="Daily"/12, uid=1000001, rank=1, score=30, isRewarded=false, item=[0:0:100]
[14:22:48.735 INF] [T:1] [Rank] [Daily] Season loaded. kind="Daily", num=46, state="Running", start="2025-12-26T00:00:00.0000000+09:00", end="2025-12-27T00:00:00.0000000+09:00"
[14:22:48.737 INF] [T:1] [Rank] Listener (0.0.0.0:20000:"Tcp") was started.
[14:22:48.740 INF] [T:1] [Rank] The server instance Rank was been started!
[14:22:48.777 DBG] [T:12] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=1, rank=2, score=30, isRewarded=false, item=[0:0:70]
[14:22:48.777 DBG] [T:12] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=2, rank=1, score=40, isRewarded=false, item=[0:0:100]
[14:22:48.777 DBG] [T:12] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=1000001, rank=3, score=10, isRewarded=false, item=[0:0:50]
[14:22:48.777 DBG] [T:12] [Rank] [Daily] Reward loaded. season="Daily"/12, uid=1000001, rank=1, score=30, isRewarded=false, item=[0:0:100]
[14:22:48.873 INF] [T:12] [Rank] [Daily] Next season scheduled. kind="Daily", num=47, start="2025-12-29T00:00:00.0000000+00:00", end="2025-12-30T00:00:00.0000000+00:00"
[14:23:14.548 DBG] [T:27] [Rank] A new session connected. sessionId=2f5246f1-d9c1-4693-a877-c61ac529a48a, remoteEndPoint=127.0.0.1:64433
[14:23:14.595 DBG] [T:27] [Rank] Session authentication succeeded. sessionId=2f5246f1-d9c1-4693-a877-c61ac529a48a, peerId=1
[14:23:14.628 INF] [T:11] [Rank] Server Game registered.
[14:23:18.472 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:23:17.467Z CPU=0.0% WS=76.44MB Managed=193.47MB Threads=34
[14:23:48.467 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:23:47.467Z CPU=0.0% WS=65.12MB Managed=194.08MB Threads=33
[14:24:18.468 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:24:17.467Z CPU=0.0% WS=68.05MB Managed=194.52MB Threads=32
[14:24:48.466 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:24:47.467Z CPU=0.0% WS=69.75MB Managed=194.97MB Threads=33
[14:25:18.467 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:25:17.467Z CPU=0.0% WS=71.72MB Managed=192.40MB Threads=33
[14:25:48.467 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:25:47.468Z CPU=0.0% WS=83.61MB Managed=192.86MB Threads=32
[14:26:18.468 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:26:17.467Z CPU=0.0% WS=84.25MB Managed=193.32MB Threads=33
[14:26:48.467 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:26:47.467Z CPU=0.0% WS=83.53MB Managed=193.76MB Threads=32
[14:27:18.468 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:27:17.467Z CPU=0.0% WS=81.50MB Managed=194.20MB Threads=32
[14:27:48.467 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:27:47.468Z CPU=0.0% WS=81.67MB Managed=194.65MB Threads=33
[14:28:18.468 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:28:17.468Z CPU=0.0% WS=87.11MB Managed=195.10MB Threads=32
[14:28:48.468 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:28:47.467Z CPU=0.0% WS=87.38MB Managed=195.54MB Threads=32
[14:29:18.468 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:29:17.468Z CPU=0.0% WS=87.02MB Managed=195.97MB Threads=33
[14:29:48.468 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:29:47.467Z CPU=0.0% WS=87.06MB Managed=196.43MB Threads=34
[14:30:18.468 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:30:17.468Z CPU=0.0% WS=87.06MB Managed=196.88MB Threads=33
[14:30:48.469 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:30:47.469Z CPU=0.0% WS=87.11MB Managed=197.31MB Threads=32
[14:31:18.468 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:31:17.468Z CPU=0.0% WS=87.23MB Managed=197.76MB Threads=32
[14:31:48.469 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:31:47.469Z CPU=0.0% WS=87.61MB Managed=198.20MB Threads=32
[14:32:18.469 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:32:17.469Z CPU=0.0% WS=88.17MB Managed=198.62MB Threads=32
[14:32:48.469 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:32:47.468Z CPU=0.0% WS=81.75MB Managed=199.06MB Threads=33
[14:33:18.469 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:33:17.467Z CPU=0.0% WS=83.81MB Managed=199.50MB Threads=32
[14:33:48.468 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:33:47.469Z CPU=0.0% WS=84.59MB Managed=199.96MB Threads=32
[14:34:18.469 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:34:17.469Z CPU=0.0% WS=85.44MB Managed=192.58MB Threads=33
[14:34:48.470 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:34:47.469Z CPU=0.0% WS=85.41MB Managed=193.02MB Threads=32
[14:35:18.470 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:35:17.469Z CPU=0.0% WS=85.42MB Managed=193.45MB Threads=32
[14:35:48.470 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:35:47.469Z CPU=0.0% WS=85.45MB Managed=193.89MB Threads=32
[14:36:18.470 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:36:17.469Z CPU=0.0% WS=85.48MB Managed=194.32MB Threads=33
[14:36:48.469 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:36:47.470Z CPU=0.0% WS=85.25MB Managed=194.76MB Threads=32
[14:37:18.469 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:37:17.468Z CPU=0.0% WS=85.28MB Managed=195.19MB Threads=32
[14:37:48.470 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:37:47.469Z CPU=0.0% WS=85.23MB Managed=195.63MB Threads=32
[14:38:18.470 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:38:17.470Z CPU=0.0% WS=85.36MB Managed=196.05MB Threads=32
[14:38:48.470 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:38:47.470Z CPU=0.0% WS=85.41MB Managed=196.52MB Threads=33
[14:39:18.470 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:39:17.470Z CPU=0.0% WS=85.42MB Managed=196.97MB Threads=32
[14:39:48.470 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:39:47.470Z CPU=0.0% WS=85.42MB Managed=197.41MB Threads=32
[14:40:18.470 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:40:17.470Z CPU=0.0% WS=85.41MB Managed=197.84MB Threads=32
[14:40:48.470 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:40:47.470Z CPU=0.0% WS=85.41MB Managed=198.27MB Threads=32
[14:41:18.470 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:41:17.469Z CPU=0.0% WS=85.41MB Managed=198.71MB Threads=32
[14:41:48.470 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:41:47.470Z CPU=0.0% WS=83.88MB Managed=199.15MB Threads=33
[14:42:18.471 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:42:17.471Z CPU=0.0% WS=83.88MB Managed=199.60MB Threads=33
[14:42:48.470 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:42:47.470Z CPU=0.0% WS=83.81MB Managed=200.03MB Threads=32
[14:43:18.471 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:43:17.470Z CPU=0.0% WS=80.11MB Managed=192.71MB Threads=32
[14:43:48.471 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:43:47.471Z CPU=0.0% WS=80.16MB Managed=193.19MB Threads=33
[14:44:18.471 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:44:17.471Z CPU=0.0% WS=80.14MB Managed=193.63MB Threads=32
[14:44:48.471 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:44:47.471Z CPU=0.0% WS=80.14MB Managed=194.06MB Threads=32
[14:45:18.471 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:45:17.471Z CPU=0.0% WS=80.31MB Managed=194.50MB Threads=32
[14:45:48.471 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:45:47.471Z CPU=0.0% WS=79.05MB Managed=194.95MB Threads=32
[14:46:18.470 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:46:17.471Z CPU=0.0% WS=79.05MB Managed=195.37MB Threads=31
[14:46:48.472 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:46:47.471Z CPU=0.0% WS=79.06MB Managed=195.80MB Threads=32
[14:47:18.472 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:47:17.472Z CPU=0.0% WS=79.22MB Managed=196.26MB Threads=32
[14:47:48.471 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:47:47.471Z CPU=0.0% WS=79.23MB Managed=196.71MB Threads=32
[14:48:18.472 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:48:17.472Z CPU=0.0% WS=78.16MB Managed=197.12MB Threads=32
[14:48:48.472 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:48:47.472Z CPU=0.0% WS=79.38MB Managed=197.69MB Threads=34
[14:49:18.472 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:49:17.472Z CPU=0.0% WS=79.44MB Managed=198.15MB Threads=33
[14:49:48.472 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:49:47.471Z CPU=0.0% WS=78.95MB Managed=198.59MB Threads=32
[14:50:18.473 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:50:17.471Z CPU=0.0% WS=78.39MB Managed=199.03MB Threads=32
[14:50:48.472 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:50:47.472Z CPU=0.0% WS=78.48MB Managed=199.44MB Threads=32
[14:51:18.473 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:51:17.472Z CPU=0.0% WS=78.52MB Managed=199.89MB Threads=33
[14:51:48.472 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:51:47.473Z CPU=0.0% WS=79.58MB Managed=192.58MB Threads=34
[14:52:18.473 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:52:17.473Z CPU=0.0% WS=79.56MB Managed=193.03MB Threads=32
[14:52:48.473 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:52:47.473Z CPU=0.0% WS=79.58MB Managed=193.49MB Threads=33
[14:53:18.473 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:53:17.472Z CPU=0.0% WS=79.61MB Managed=193.93MB Threads=33
[14:53:48.473 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:53:47.473Z CPU=0.0% WS=79.67MB Managed=194.38MB Threads=33
[14:54:18.492 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:54:17.472Z CPU=0.0% WS=79.67MB Managed=194.84MB Threads=33
[14:54:48.473 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:54:47.473Z CPU=0.0% WS=79.67MB Managed=195.28MB Threads=32
[14:55:18.473 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:55:17.473Z CPU=0.0% WS=79.42MB Managed=195.72MB Threads=32
[14:55:48.473 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:55:47.472Z CPU=0.0% WS=79.42MB Managed=196.15MB Threads=32
[14:56:18.473 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:56:17.472Z CPU=0.0% WS=79.42MB Managed=196.57MB Threads=32
[14:56:48.473 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:56:47.473Z CPU=0.0% WS=79.42MB Managed=196.99MB Threads=32
[14:57:18.473 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:57:17.472Z CPU=0.0% WS=79.41MB Managed=197.42MB Threads=31
[14:57:48.473 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:57:47.474Z CPU=0.0% WS=79.42MB Managed=197.85MB Threads=32
[14:58:18.474 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:58:17.473Z CPU=0.0% WS=79.22MB Managed=198.28MB Threads=32
[14:58:48.473 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:58:47.473Z CPU=0.0% WS=79.22MB Managed=198.70MB Threads=32
[14:59:18.474 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:59:17.473Z CPU=0.0% WS=79.22MB Managed=199.15MB Threads=32
[14:59:48.473 INF] [T:7] [PerfMonitor] Time:2025-12-29 05:59:47.474Z CPU=0.0% WS=79.22MB Managed=199.58MB Threads=32
[15:00:18.474 INF] [T:7] [PerfMonitor] Time:2025-12-29 06:00:17.474Z CPU=0.0% WS=79.22MB Managed=200.01MB Threads=32
[15:00:48.474 INF] [T:7] [PerfMonitor] Time:2025-12-29 06:00:47.474Z CPU=0.0% WS=78.11MB Managed=192.68MB Threads=33
