[17:13:23.479 INF] [T:1] [Rank] Logger setup was successful: Rank
[17:13:23.609 DBG] [T:1] [Rank] Discover commands: [3003, 3002, 3001, 3000, 1000]
[17:13:23.613 INF] [T:1] [Rank] The server Rank is initialized.
[17:13:24.056 DBG] [T:1] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=1, rank=2, score=30, isRewarded=false, item=[0:0:70]
[17:13:24.056 DBG] [T:1] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=2, rank=1, score=40, isRewarded=false, item=[0:0:100]
[17:13:24.056 DBG] [T:1] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=1000001, rank=3, score=10, isRewarded=false, item=[0:0:50]
[17:13:24.056 DBG] [T:1] [Rank] [Daily] Reward loaded. season="Daily"/12, uid=1000001, rank=1, score=30, isRewarded=false, item=[0:0:100]
[17:13:24.071 INF] [T:1] [Rank] [Daily] Season loaded. kind="Daily", num=68, state="Running", start="2026-01-27T00:00:00.0000000+09:00", end="2026-01-28T00:00:00.0000000+09:00"
[17:13:24.074 INF] [T:1] [Rank] Listener (0.0.0.0:20000:"Tcp") was started.
[17:13:24.077 INF] [T:1] [Rank] The server instance Rank was been started!
[17:13:24.131 DBG] [T:12] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=1, rank=2, score=30, isRewarded=false, item=[0:0:70]
[17:13:24.132 DBG] [T:12] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=2, rank=1, score=40, isRewarded=false, item=[0:0:100]
[17:13:24.132 DBG] [T:12] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=1000001, rank=3, score=10, isRewarded=false, item=[0:0:50]
[17:13:24.132 DBG] [T:12] [Rank] [Daily] Reward loaded. season="Daily"/12, uid=1000001, rank=1, score=30, isRewarded=false, item=[0:0:100]
[17:13:24.226 INF] [T:12] [Rank] [Daily] Next season scheduled. kind="Daily", num=69, start="2026-01-29T00:00:00.0000000+00:00", end="2026-01-30T00:00:00.0000000+00:00"
[17:13:35.484 DBG] [T:25] [Rank] A new session connected. sessionId=43d088a2-e25e-4a52-a3ab-4ed0bfed2000, remoteEndPoint=127.0.0.1:57360
[17:13:35.545 DBG] [T:8] [Rank] Session authentication succeeded. sessionId=43d088a2-e25e-4a52-a3ab-4ed0bfed2000, peerId=1
[17:13:35.586 INF] [T:8] [Rank] Server Game registered.
[17:13:53.622 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:13:52.613Z CPU=0.0% WS=77.16MB Managed=190.50MB Threads=34
[17:14:23.615 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:14:22.614Z CPU=0.0% WS=79.38MB Managed=190.96MB Threads=33
[17:14:53.615 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:14:52.614Z CPU=0.0% WS=80.12MB Managed=191.41MB Threads=32
[17:15:23.614 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:15:22.615Z CPU=0.0% WS=78.95MB Managed=192.62MB Threads=33
[17:15:53.615 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:15:52.614Z CPU=0.0% WS=80.42MB Managed=193.16MB Threads=33
[17:16:23.614 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:16:22.614Z CPU=0.0% WS=83.53MB Managed=193.60MB Threads=32
[17:16:53.615 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:16:52.614Z CPU=0.0% WS=79.70MB Managed=194.05MB Threads=32
[17:17:23.616 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:17:22.614Z CPU=0.0% WS=78.19MB Managed=194.52MB Threads=34
[17:17:53.616 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:17:52.615Z CPU=0.0% WS=65.08MB Managed=194.99MB Threads=34
[17:18:23.616 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:18:22.615Z CPU=0.0% WS=65.34MB Managed=195.47MB Threads=35
[17:18:53.616 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:18:52.615Z CPU=0.0% WS=75.12MB Managed=195.94MB Threads=34
[17:19:23.617 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:19:22.616Z CPU=0.0% WS=61.64MB Managed=196.40MB Threads=33
[17:19:53.616 INF] [T:7] [PerfMonitor] Time:2026-01-29 08:19:52.616Z CPU=0.0% WS=65.28MB Managed=196.87MB Threads=33
