[18:45:26.685 INF] [T:1] [Rank] Logger setup was successful: Rank
[18:45:26.827 DBG] [T:1] [Rank] Discover commands: [3003, 3002, 3001, 3000, 1000]
[18:45:26.829 INF] [T:1] [Rank] The server Rank is initialized.
[18:45:27.228 DBG] [T:1] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=1, rank=2, score=30, isRewarded=false, item=[0:0:70]
[18:45:27.228 DBG] [T:1] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=2, rank=1, score=40, isRewarded=false, item=[0:0:100]
[18:45:27.228 DBG] [T:1] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=1000001, rank=3, score=10, isRewarded=false, item=[0:0:50]
[18:45:27.228 DBG] [T:1] [Rank] [Daily] Reward loaded. season="Daily"/12, uid=1000001, rank=1, score=30, isRewarded=false, item=[0:0:100]
[18:45:27.242 INF] [T:1] [Rank] [Daily] Season loaded. kind="Daily", num=71, state="Running", start="2026-01-30T06:00:00.0000000+09:00", end="2026-01-31T06:00:00.0000000+09:00"
[18:45:27.244 INF] [T:1] [Rank] Listener (0.0.0.0:20000:"Tcp") was started.
[18:45:27.247 INF] [T:1] [Rank] The server instance Rank was been started!
[18:45:27.292 DBG] [T:12] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=1, rank=2, score=30, isRewarded=false, item=[0:0:70]
[18:45:27.292 DBG] [T:12] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=2, rank=1, score=40, isRewarded=false, item=[0:0:100]
[18:45:27.292 DBG] [T:12] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=1000001, rank=3, score=10, isRewarded=false, item=[0:0:50]
[18:45:27.292 DBG] [T:12] [Rank] [Daily] Reward loaded. season="Daily"/12, uid=1000001, rank=1, score=30, isRewarded=false, item=[0:0:100]
[18:45:27.387 INF] [T:12] [Rank] [Daily] Next season scheduled. kind="Daily", num=72, start="2026-02-02T00:00:00.0000000+00:00", end="2026-02-03T00:00:00.0000000+00:00"
[18:45:35.090 DBG] [T:8] [Rank] A new session connected. sessionId=06e452bc-baba-45a0-a64a-dd0ef2bcbef8, remoteEndPoint=127.0.0.1:58636
[18:45:35.150 DBG] [T:15] [Rank] Session authentication succeeded. sessionId=06e452bc-baba-45a0-a64a-dd0ef2bcbef8, peerId=1
[18:45:35.193 INF] [T:15] [Rank] Server Game registered.
[18:45:56.835 INF] [T:7] [PerfMonitor] Time:2026-02-02 09:45:55.830Z CPU=0.0% WS=63.73MB Managed=194.62MB Threads=34
[18:46:26.830 INF] [T:7] [PerfMonitor] Time:2026-02-02 09:46:25.830Z CPU=0.0% WS=75.67MB Managed=192.94MB Threads=37
[18:46:56.830 INF] [T:7] [PerfMonitor] Time:2026-02-02 09:46:55.831Z CPU=0.0% WS=76.36MB Managed=193.97MB Threads=33
[18:47:26.830 INF] [T:7] [PerfMonitor] Time:2026-02-02 09:47:25.831Z CPU=0.0% WS=77.28MB Managed=194.98MB Threads=34
[18:47:56.832 INF] [T:7] [PerfMonitor] Time:2026-02-02 09:47:55.832Z CPU=0.0% WS=72.27MB Managed=196.01MB Threads=33
[18:48:26.831 INF] [T:7] [PerfMonitor] Time:2026-02-02 09:48:25.832Z CPU=0.0% WS=66.14MB Managed=197.01MB Threads=32
[18:48:56.831 INF] [T:7] [PerfMonitor] Time:2026-02-02 09:48:55.832Z CPU=0.0% WS=70.70MB Managed=198.03MB Threads=33
[18:49:26.831 INF] [T:7] [PerfMonitor] Time:2026-02-02 09:49:25.832Z CPU=0.0% WS=62.84MB Managed=199.03MB Threads=33
[18:49:56.831 INF] [T:7] [PerfMonitor] Time:2026-02-02 09:49:55.831Z CPU=0.0% WS=71.14MB Managed=200.07MB Threads=34
[18:50:26.831 INF] [T:7] [PerfMonitor] Time:2026-02-02 09:50:25.831Z CPU=0.0% WS=79.44MB Managed=192.95MB Threads=32
[18:50:56.832 INF] [T:7] [PerfMonitor] Time:2026-02-02 09:50:55.831Z CPU=0.0% WS=86.59MB Managed=194.05MB Threads=32
[18:51:26.831 INF] [T:7] [PerfMonitor] Time:2026-02-02 09:51:25.831Z CPU=0.0% WS=86.77MB Managed=195.04MB Threads=32
[18:51:56.832 INF] [T:7] [PerfMonitor] Time:2026-02-02 09:51:55.832Z CPU=0.0% WS=86.97MB Managed=196.06MB Threads=33
[18:52:26.832 INF] [T:7] [PerfMonitor] Time:2026-02-02 09:52:25.832Z CPU=0.0% WS=83.70MB Managed=197.07MB Threads=33
[18:52:56.833 INF] [T:7] [PerfMonitor] Time:2026-02-02 09:52:55.832Z CPU=0.0% WS=50.38MB Managed=198.07MB Threads=32
[18:53:26.833 INF] [T:7] [PerfMonitor] Time:2026-02-02 09:53:25.833Z CPU=0.0% WS=59.19MB Managed=199.09MB Threads=34
[18:53:56.833 INF] [T:7] [PerfMonitor] Time:2026-02-02 09:53:55.833Z CPU=0.1% WS=62.88MB Managed=200.11MB Threads=33
[18:54:26.834 INF] [T:7] [PerfMonitor] Time:2026-02-02 09:54:25.832Z CPU=0.0% WS=70.23MB Managed=193.30MB Threads=33
[18:54:56.833 INF] [T:7] [PerfMonitor] Time:2026-02-02 09:54:55.833Z CPU=0.0% WS=73.66MB Managed=194.32MB Threads=34
[18:55:26.834 INF] [T:7] [PerfMonitor] Time:2026-02-02 09:55:25.833Z CPU=0.0% WS=74.30MB Managed=195.33MB Threads=32
[18:55:56.834 INF] [T:7] [PerfMonitor] Time:2026-02-02 09:55:55.833Z CPU=0.0% WS=76.92MB Managed=196.32MB Threads=32
[18:56:26.834 INF] [T:7] [PerfMonitor] Time:2026-02-02 09:56:25.833Z CPU=0.0% WS=78.34MB Managed=197.32MB Threads=32
[18:56:56.834 INF] [T:7] [PerfMonitor] Time:2026-02-02 09:56:55.834Z CPU=0.0% WS=78.80MB Managed=198.35MB Threads=33
[18:57:26.835 INF] [T:7] [PerfMonitor] Time:2026-02-02 09:57:25.834Z CPU=0.0% WS=78.67MB Managed=199.36MB Threads=34
[18:57:56.835 INF] [T:7] [PerfMonitor] Time:2026-02-02 09:57:55.834Z CPU=0.0% WS=78.73MB Managed=200.37MB Threads=32
[18:58:26.836 INF] [T:7] [PerfMonitor] Time:2026-02-02 09:58:25.833Z CPU=0.0% WS=67.42MB Managed=193.51MB Threads=33
[18:58:56.835 INF] [T:7] [PerfMonitor] Time:2026-02-02 09:58:55.834Z CPU=0.1% WS=56.25MB Managed=194.54MB Threads=32
[18:59:26.835 INF] [T:7] [PerfMonitor] Time:2026-02-02 09:59:26.835Z CPU=0.1% WS=60.91MB Managed=195.58MB Threads=35
[18:59:56.836 INF] [T:7] [PerfMonitor] Time:2026-02-02 09:59:55.835Z CPU=0.1% WS=63.02MB Managed=196.58MB Threads=33
[19:00:26.835 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:00:25.835Z CPU=0.0% WS=64.11MB Managed=197.59MB Threads=33
[19:00:56.835 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:00:55.836Z CPU=0.0% WS=67.67MB Managed=198.59MB Threads=32
[19:01:26.835 INF] [T:7] [PerfMonitor] Time:2026-02-02 10:01:25.836Z CPU=0.0% WS=70.72MB Managed=199.60MB Threads=34
