[14:59:23.509 INF] [T:1] [Rank] Logger setup was successful: Rank
[14:59:23.641 DBG] [T:1] [Rank] [Engine] Discovered '5' commands: [3003, 3002, 3001, 3000, 1000]
[14:59:23.642 INF] [T:1] [Rank] The server Rank is initialized.
[14:59:23.646 INF] [T:7] [PerfMonitor] Time:2026-03-27 05:59:23.644Z CPU=0.6% WS=63.36MB Managed=761.56KB Threads=17
[14:59:23.908 DBG] [T:1] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=1, rank=2, score=30, isRewarded=false, item=[0:0:70]
[14:59:23.908 DBG] [T:1] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=2, rank=1, score=40, isRewarded=false, item=[0:0:100]
[14:59:23.908 DBG] [T:1] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=1000001, rank=3, score=10, isRewarded=false, item=[0:0:50]
[14:59:23.908 DBG] [T:1] [Rank] [Daily] Reward loaded. season="Daily"/12, uid=1000001, rank=1, score=30, isRewarded=false, item=[0:0:100]
[14:59:23.916 INF] [T:1] [Rank] [Daily] Season loaded. kind="Daily", num=96, state="Running", start="2026-03-23T00:00:00.0000000+09:00", end="2026-03-24T00:00:00.0000000+09:00"
[14:59:23.918 INF] [T:1] [Rank] Listener (0.0.0.0:20001:"Tcp") was started.
[14:59:23.920 INF] [T:1] [Rank] The server instance Rank was been started!
[14:59:23.957 DBG] [T:12] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=1, rank=2, score=30, isRewarded=false, item=[0:0:70]
[14:59:23.957 DBG] [T:12] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=2, rank=1, score=40, isRewarded=false, item=[0:0:100]
[14:59:23.957 DBG] [T:12] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=1000001, rank=3, score=10, isRewarded=false, item=[0:0:50]
[14:59:23.957 DBG] [T:12] [Rank] [Daily] Reward loaded. season="Daily"/12, uid=1000001, rank=1, score=30, isRewarded=false, item=[0:0:100]
[14:59:24.049 INF] [T:12] [Rank] [Daily] Next season scheduled. kind="Daily", num=97, start="2026-03-27T00:00:00.0000000+00:00", end="2026-03-28T00:00:00.0000000+00:00"
[14:59:53.643 INF] [T:7] [PerfMonitor] Time:2026-03-27 05:59:52.643Z CPU=0.0% WS=104.48MB Managed=11.00MB Threads=35
[15:00:23.643 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:00:22.642Z CPU=0.0% WS=106.53MB Managed=11.49MB Threads=34
[15:00:53.642 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:00:52.641Z CPU=0.0% WS=107.12MB Managed=11.97MB Threads=35
[15:01:23.642 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:01:22.641Z CPU=0.0% WS=107.67MB Managed=12.45MB Threads=34
[15:01:53.641 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:01:52.641Z CPU=0.0% WS=108.59MB Managed=12.94MB Threads=36
[15:02:23.640 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:02:22.640Z CPU=0.0% WS=109.09MB Managed=13.42MB Threads=33
[15:02:53.638 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:02:52.638Z CPU=0.0% WS=109.78MB Managed=13.91MB Threads=33
[15:03:23.639 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:03:22.638Z CPU=0.0% WS=110.34MB Managed=10.15MB Threads=35
